YEAR    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC   D-J-F   M-A-M   J-J-A   S-O-N  metANN
2002   -3.5   -4.3   -2.5    2.2    3.8    7.0   11.6    9.5    6.1    2.3   -1.7   -3.8    -3.4     1.2     9.4     2.2    2.33
2003   -7.1   -2.3   -1.8    0.2    4.3    5.5   11.1   10.4    7.3    3.7    1.8   -3.1    -4.4     0.9     9.0     4.3    2.44
2004   -3.9   -4.8   -0.8    1.6    4.0    6.9   13.2   11.7    8.1    3.3   -0.8   -0.9    -3.9     1.6    10.6     3.5    2.95
2005   -2.4   -3.1   -3.9    0.1    3.7    7.9   10.2   11.2    7.6    4.8    2.0   -1.3    -2.1    -0.0     9.8     4.8    3.10
2006   -2.5   -4.7   -3.0    2.7    4.7    8.3    9.6   10.0    7.0    2.3   -0.3   -0.1    -2.8     1.5     9.3     3.0    2.73
2007   -2.2   -5.9    0.6    0.8    3.6    7.5    9.0   10.7    7.8    5.6   -0.2    0.7    -2.7     1.7     9.1     4.4    3.10
2008   -2.0   -2.5   -2.7   -0.9    2.8    6.1    8.8    8.3    7.1    3.8   -0.3   -0.1    -1.3    -0.3     7.7     3.5    2.43
2009   -3.6   -4.7   -2.7   -0.6    3.9    6.5    8.5    9.4    8.3    2.3    1.3   -2.2    -2.8     0.2     8.1     4.0    2.38
2010   -5.1   -5.9   -3.9    1.6    4.5    7.0   10.1    8.5    7.6    4.4   -1.0   -3.3    -4.4     0.7     8.5     3.7    2.13
2011   -4.7   -6.7   -2.1    2.5    4.1    7.4   10.4    9.9    9.5    5.3    1.9    0.8    -4.9     1.5     9.2     5.6    2.85
2012   -4.1   -5.8   -1.2    0.4    4.9    6.7    9.5    9.1    7.9    4.1    0.9   -3.7    -3.0     1.4     8.4     4.3    2.77
2013   -1.8   -2.5   -5.4    0.3    6.1    9.6   11.8   12.5   10.0    3.4   -0.6   -1.0    -2.7     0.3    11.3     4.3    3.31
2014   -3.8   -1.0   -0.8    0.1    3.4    6.6    9.9   10.8    7.7    2.9    0.4   -1.5    -1.9     0.9     9.1     3.7    2.93
2015   -3.9   -3.3    0.1    2.0    5.2    7.6    8.3   10.9    8.8    3.8    0.7   -1.1    -2.9     2.4     8.9     4.4    3.23
2016   -5.0   -1.5   -0.9    1.9    6.6    7.9   12.2   10.5    8.6    5.0    0.5   -0.5    -2.5     2.5    10.2     4.7    3.73
2017   -2.3   -2.2   -1.7   -0.7    2.0    5.7   10.1    9.9    8.0    3.7    0.5   -2.3    -1.7    -0.1     8.6     4.1    2.71
2018   -3.3   -3.5   -4.5    0.4    5.5    7.1   11.9   10.6    8.4    3.4    2.3   -1.9    -3.0     0.5     9.9     4.7    3.00
2019   -3.1   -4.5   -3.1    1.8    3.0    6.0    7.6  999.9  999.9  999.9  999.9  999.9    -3.2     0.6     7.4   999.9    1.99

